price,year,make,model,trim,miles,transmission,drivetrain,highway_mpg,city_mpg,doors,latitude,longitude,listing_date,car_age,price_per_mile,region_cluster_1,region_cluster_2,region_cluster_3,region_cluster_4,region_cluster_5,region_cluster_6,region_cluster_7,region_cluster_8,region_cluster_9,age_miles_ratio,mileage_bucket,region_cluster
21000.0,2021,17,46,57,8134.0,1,1,36.0,31.0,5.0,29.556958,-98.344524,1754189957,4,2.5817555938037864,0,0,0,0,1,0,0,0,0,1626.8,0,4
19788.0,2023,17,65,47,57454.0,1,0,35.0,28.0,5.0,33.825375,-84.103812,1754445796,2,0.3444146621645142,1,0,0,0,0,0,0,0,0,19151.33333333333,1,9
22599.0,2025,21,44,49,18525.0,0,1,40.0,30.0,4.0,39.62704,-104.987398,1754103148,0,1.219919028340081,0,0,0,0,0,0,0,0,0,18525.0,0,8
22459.0,2025,21,44,49,16304.0,0,1,40.0,30.0,4.0,42.453896,-70.960347,1754361386,0,1.3775147203140334,0,0,0,0,0,1,0,0,0,16304.0,0,6
40889.0,2023,6,31,72,27470.0,0,0,25.0,20.0,4.0,47.225872,-122.46493,1754018982,2,1.4884965416818348,0,0,0,1,0,0,0,0,0,9156.666666666666,1,1
22250.0,2025,21,44,49,15507.0,0,1,40.0,30.0,4.0,33.639435,-112.088553,1754361386,0,1.4348358805700652,0,0,0,0,0,0,0,0,0,15507.0,0,8
22250.0,2025,21,44,49,15706.0,0,1,40.0,30.0,4.0,26.43318,-81.781458,1754620539,0,1.4166560550108238,0,0,0,0,0,0,1,0,0,15706.0,0,0
49390.0,2023,6,31,33,37924.0,0,0,27.0,24.0,4.0,28.674372,-81.48119,1754620537,2,1.3023415251555743,0,0,0,0,0,0,1,0,0,12641.333333333334,1,0
49900.0,2022,3,78,75,83982.0,0,0,26.0,20.0,5.0,28.674372,-81.48119,1754534031,3,0.5941749422495297,0,0,0,0,0,0,1,0,0,20995.5,2,0
13987.0,2021,17,46,47,59468.0,1,1,36.0,31.0,5.0,38.197824,-84.273761,1754448168,4,0.2352021255128809,0,0,1,0,0,0,0,0,0,11893.6,1,3
